Task,Configuration,Index,CumulativeSpectralEnergy
NARMA10,Multi-lattice fusion,62,0.969968848394722
NARMA10,Multi-lattice fusion,63,0.970716690015464
NARMA10,Multi-lattice fusion,64,0.971439332298953
NARMA10,Multi-lattice fusion,65,0.972135361608705
NARMA10,Multi-lattice fusion,66,0.972821283251846
NARMA10,Multi-lattice fusion,67,0.973483227642127
NARMA10,Multi-lattice fusion,68,0.974130835963982
NARMA10,Multi-lattice fusion,69,0.974739188234539
NARMA10,Multi-lattice fusion,70,0.975337196345281
NARMA10,Multi-lattice fusion,71,0.975924419566569
NARMA10,Multi-lattice fusion,72,0.97650537445849
NARMA10,Multi-lattice fusion,73,0.977070737843977
NARMA10,Multi-lattice fusion,74,0.977609369768586
NARMA10,Multi-lattice fusion,75,0.978135433025678
NARMA10,Multi-lattice fusion,76,0.978648604688933
NARMA10,Multi-lattice fusion,77,0.979155208502838
NARMA10,Multi-lattice fusion,78,0.979646229003236
NARMA10,Multi-lattice fusion,79,0.980119766888724
NARMA10,Multi-lattice fusion,80,0.980586987949936
NARMA10,Multi-lattice fusion,81,0.981048989923787
NARMA10,Multi-lattice fusion,82,0.981494685177869
NARMA10,Multi-lattice fusion,83,0.981931151559168
NARMA10,Multi-lattice fusion,84,0.982347931182942
NARMA10,Multi-lattice fusion,85,0.982758159866571
NARMA10,Multi-lattice fusion,86,0.983149915377893
NARMA10,Multi-lattice fusion,87,0.983536861581814
NARMA10,Multi-lattice fusion,88,0.983918175976065
NARMA10,Multi-lattice fusion,89,0.984290253689091
NARMA10,Multi-lattice fusion,90,0.984649867768397
NARMA10,Multi-lattice fusion,91,0.984998833747548
NARMA10,Multi-lattice fusion,92,0.985341863692036
NARMA10,Multi-lattice fusion,93,0.985681389629383
NARMA10,Multi-lattice fusion,94,0.986015316391146
NARMA10,Multi-lattice fusion,95,0.986335561245631
NARMA10,Multi-lattice fusion,96,0.986638422658579
NARMA10,Multi-lattice fusion,97,0.986936652093919
NARMA10,Multi-lattice fusion,98,0.987234005171883
NARMA10,Multi-lattice fusion,99,0.987523084054752
NARMA10,Multi-lattice fusion,100,0.987806887926431
NARMA10,Multi-lattice fusion,101,0.988081967237233
NARMA10,Multi-lattice fusion,102,0.988353971660005
NARMA10,Multi-lattice fusion,103,0.988614977648575
NARMA10,Multi-lattice fusion,104,0.988871052236339
NARMA10,Multi-lattice fusion,105,0.989123223948269
NARMA10,Multi-lattice fusion,106,0.989367921156769
NARMA10,Multi-lattice fusion,107,0.989606300011945
NARMA10,Multi-lattice fusion,108,0.989838081986575
NARMA10,Multi-lattice fusion,109,0.99006429807103
NARMA10,Multi-lattice fusion,110,0.99028833580006
NARMA10,Multi-lattice fusion,111,0.990505954464563
NARMA10,Multi-lattice fusion,112,0.990720443020343
NARMA10,Multi-lattice fusion,113,0.990930502157582
NARMA10,Multi-lattice fusion,114,0.991132713708525
NARMA10,Multi-lattice fusion,115,0.991333524820004
NARMA10,Multi-lattice fusion,116,0.991528797295458
NARMA10,Multi-lattice fusion,117,0.991721906022728
NARMA10,Multi-lattice fusion,118,0.991910286329683
NARMA10,Multi-lattice fusion,119,0.99209350385281
NARMA10,Multi-lattice fusion,120,0.992274125061954
NARMA10,Multi-lattice fusion,121,0.992454472059032
NARMA10,Multi-lattice fusion,122,0.99263086441773
NARMA10,Multi-lattice fusion,123,0.992801357520695
NARMA10,Multi-lattice fusion,124,0.992970857227467
NARMA10,Multi-lattice fusion,125,0.99313604697664
NARMA10,Multi-lattice fusion,126,0.993298660698743
NARMA10,Multi-lattice fusion,127,0.993459110290126
NARMA10,Multi-lattice fusion,128,0.993616001984885
NARMA10,Multi-lattice fusion,129,0.993769371220138
NARMA10,Multi-lattice fusion,130,0.99391795041363
NARMA10,Multi-lattice fusion,131,0.994064758958543
NARMA10,Multi-lattice fusion,132,0.994210521247128
NARMA10,Multi-lattice fusion,133,0.994352732976111
NARMA10,Multi-lattice fusion,134,0.994493045939376
NARMA10,Multi-lattice fusion,135,0.994631694239517
NARMA10,Multi-lattice fusion,136,0.994765767721592
NARMA10,Multi-lattice fusion,137,0.994897037097625
NARMA10,Multi-lattice fusion,138,0.995025957297713
NARMA10,Multi-lattice fusion,139,0.995153363741279
NARMA10,Multi-lattice fusion,140,0.995277601225134
NARMA10,Multi-lattice fusion,141,0.995399271432282
NARMA10,Multi-lattice fusion,142,0.995519011517235
NARMA10,Multi-lattice fusion,143,0.99563710863234
NARMA10,Multi-lattice fusion,144,0.995752207478669
NARMA10,Multi-lattice fusion,145,0.995865867681649
NARMA10,Multi-lattice fusion,146,0.99597716295431
NARMA10,Multi-lattice fusion,147,0.996085561693954
NARMA10,Multi-lattice fusion,148,0.996192689732161
NARMA10,Multi-lattice fusion,149,0.996297912366542
NARMA10,Multi-lattice fusion,150,0.996399369230215
NARMA10,Multi-lattice fusion,151,0.996499639689145
NARMA10,Multi-lattice fusion,152,0.996596988208514
NARMA10,Multi-lattice fusion,153,0.996693880915715
NARMA10,Multi-lattice fusion,154,0.996788263133633
NARMA10,Multi-lattice fusion,155,0.996879368216858
NARMA10,Multi-lattice fusion,156,0.99696972866752
NARMA10,Multi-lattice fusion,157,0.997059677287864
NARMA10,Multi-lattice fusion,158,0.997147896002396
NARMA10,Multi-lattice fusion,159,0.997234992664509
NARMA10,Multi-lattice fusion,160,0.997318583396437
NARMA10,Multi-lattice fusion,161,0.997401016021257
NARMA10,Multi-lattice fusion,162,0.997482380801373
NARMA10,Multi-lattice fusion,163,0.99756275839192
NARMA10,Multi-lattice fusion,164,0.997638942499914
NARMA10,Multi-lattice fusion,165,0.997714069766744
NARMA10,Multi-lattice fusion,166,0.997787912519973
NARMA10,Multi-lattice fusion,167,0.997860573287504
NARMA10,Multi-lattice fusion,168,0.997931186667935
NARMA10,Multi-lattice fusion,169,0.998000765132234
NARMA10,Multi-lattice fusion,170,0.998068599953952
NARMA10,Multi-lattice fusion,171,0.998135136756967
NARMA10,Multi-lattice fusion,172,0.998199418813319
NARMA10,Multi-lattice fusion,173,0.998262554944904
NARMA10,Multi-lattice fusion,174,0.99832436422586
NARMA10,Multi-lattice fusion,175,0.998384495863715
NARMA10,Multi-lattice fusion,176,0.998444438436072
NARMA10,Multi-lattice fusion,177,0.998502738381341
NARMA10,Multi-lattice fusion,178,0.998559010250042
NARMA10,Multi-lattice fusion,179,0.998613850915561
NARMA10,Multi-lattice fusion,180,0.998667665761481
NARMA10,Multi-lattice fusion,181,0.998720689705948
NARMA10,Multi-lattice fusion,182,0.998772688547019
NARMA10,Multi-lattice fusion,183,0.998823705636402
NARMA10,Multi-lattice fusion,184,0.99887371606218
NARMA10,Multi-lattice fusion,185,0.998922082810754
NARMA10,Multi-lattice fusion,186,0.998969448095557
NARMA10,Multi-lattice fusion,187,0.999016713720965
